discount,ram_gb,storage_gb,storage_type,price_usd_$,old_price_usd_$
49%,8,8,HDD,149.31,293.33
35%,8,8,SSD,261.07,400.0
33%,8,8,SSD,445.33,666.67
25%,8,8,HDD,157.07,210.67
34%,8,8,SSD,175.73,266.4
43%,8,8,SSD,226.4,400.0
67%,8,8,HDD,133.07,397.33
55%,8,8,HDD,130.67,293.33
47%,4,4,HDD,105.87,200.0
33%,8,8,SSD,213.07,320.0
41%,4,4,SSD,105.33,178.67
23%,8,8,SSD,204.0,266.4
21%,16,16,SSD,1000.0,1266.67
,4,4,HDD,293.33,
40%,4,4,SSD,95.73,160.0
55%,8,8,SSD,119.73,266.4
38%,8,8,SSD,746.67,1200.0
44%,8,8,HDD,149.07,264.0
,8,8,SSD,426.67,
54%,8,8,HDD,122.4,264.0
4%,8,8,SSD,192.0,200.0
46%,16,16,SSD,258.67,480.0
30%,16,16,SSD,186.4,266.4
47%,4,64,SSD,85.07,160.0
51%,32,32,SSD,453.07,933.33
35%,16,16,SSD,400.0,613.33
19%,8,8,SSD,1173.33,1440.0
40%,8,8,HDD,159.73,266.4
49%,4,4,SSD,95.97,186.4
8%,8,8,SSD,261.6,285.6
47%,8,256,SSD,185.33,346.67
39%,4,128,SSD,106.4,173.33
54%,8,8,HDD,160.0,346.67
31%,8,8,SSD,1200.0,1733.33
43%,4,128,SSD,122.67,213.33
52%,8,8,HDD,141.07,293.07
50%,8,8,HDD,133.07,266.4
46%,4,4,SSD,100.0,186.67
50%,8,8,SSD,186.56,373.33
43%,8,8,SSD,213.09,370.67
29%,8,8,SSD,359.73,506.67
42%,8,8,HDD,154.4,266.67
1%,16,16,HDD,186.13,186.4
42%,4,4,SSD,100.0,173.33
,16,16,SSD,533.33,
33%,8,8,HDD,139.73,208.0
55%,4,4,SSD,106.4,237.33
52%,8,8,HDD,154.67,320.0
92%,8,8,SSD,762.93,9333.33
43%,4,4,SSD,106.4,186.67
33%,4,4,SSD,111.2,165.33
34%,16,16,SSD,221.07,333.33
31%,8,8,SSD,734.67,1066.67
41%,16,16,SSD,362.4,613.33
59%,12,12,HDD,194.4,477.34
19%,8,8,SSD,173.07,213.33
37%,8,256,SSD,253.33,400.0
43%,12,12,HDD,213.07,373.33
45%,8,8,HDD,146.67,266.67
44%,8,8,SSD,156.8,280.0
56%,8,8,HDD,150.37,344.0
37%,4,4,HDD,253.33,400.0
38%,16,16,SSD,400.0,640.0
16%,8,8,SSD,446.13,533.33
49%,4,4,HDD,122.4,239.73
43%,8,8,SSD,274.67,480.0
53%,8,8,SSD,186.4,397.33
41%,8,8,SSD,234.4,400.0
32%,4,4,SSD,117.07,173.07
36%,4,4,SSD,93.33,146.67
42%,4,4,SSD,92.0,157.33
38%,8,8,SSD,213.07,344.0
50%,8,8,HDD,133.07,264.0
32%,16,16,SSD,450.67,666.67
,16,16,SSD,800.0,
67%,8,8,HDD,159.73,477.34
54%,8,8,HDD,148.0,320.0
30%,8,8,HDD,165.07,237.33
8%,8,8,SSD,261.07,285.07
46%,8,8,SSD,346.4,637.33
30%,8,8,HDD,149.07,213.33
28%,8,256,SSD,344.0,480.0
43%,16,16,SSD,378.67,666.67
33%,16,16,HDD,266.43,400.0
63%,4,4,SSD,93.07,253.34
33%,8,8,SSD,521.33,773.33
58%,8,8,HDD,114.67,274.64
60%,8,8,SSD,202.4,506.67
22%,8,8,SSD,344.0,440.0
51%,16,16,HDD,127.47,261.33
59%,4,4,SSD,120.0,293.33
3%,16,16,SSD,386.67,400.0
47%,16,16,HDD,253.07,480.0
39%,8,8,SSD,290.67,480.0
13%,8,8,SSD,181.33,208.0
51%,4,4,SSD,98.4,202.4
40%,8,8,HDD,159.97,266.4
1%,4,4,HDD,424.0,426.8
32%,4,128,SSD,117.33,173.33
16%,8,8,HDD,1013.33,1200.0
44%,16,16,HDD,194.4,346.67
60%,4,4,SSD,128.0,320.0
39%,8,8,SSD,520.0,853.33
46%,8,8,SSD,185.87,346.67
46%,8,8,SSD,101.33,186.67
48%,8,8,HDD,125.07,239.73
44%,8,8,SSD,200.0,359.73
26%,8,8,SSD,293.07,397.33
40%,4,128,SSD,104.0,173.33
42%,4,4,SSD,93.07,160.0
62%,4,4,SSD,130.67,346.67
39%,4,4,SSD,106.4,173.33
19%,8,8,SSD,162.4,200.0
39%,8,8,HDD,145.33,240.0
11%,8,8,SSD,226.67,253.33
46%,8,8,SSD,173.07,319.73
29%,4,4,SSD,130.67,184.0
56%,4,4,HDD,114.4,261.33
41%,4,4,SSD,133.33,226.67
,8,8,SSD,741.33,
39%,4,4,SSD,130.93,213.33
41%,16,16,HDD,373.33,637.33
42%,4,4,SSD,106.13,184.0
42%,8,8,HDD,148.0,253.33
42%,4,4,SSD,101.07,173.33
31%,4,4,SSD,119.73,173.33
42%,8,8,SSD,122.66,210.39
12%,8,8,SSD,176.0,200.0
61%,8,8,HDD,146.4,373.33
34%,4,4,SSD,132.0,200.0
45%,8,8,HDD,146.67,266.67
31%,8,8,SSD,309.33,450.67
48%,16,16,SSD,319.73,613.33
44%,4,4,SSD,95.73,170.4
17%,16,16,SSD,1000.0,1200.0
73%,4,128,SSD,106.4,400.0
51%,8,8,HDD,125.33,253.36
69%,8,8,HDD,146.67,466.67
31%,8,8,SSD,165.33,240.0
33%,8,8,HDD,143.73,213.33
48%,8,8,HDD,125.07,239.73
43%,8,8,HDD,229.07,400.0
33%,8,8,SSD,159.73,239.2
43%,16,16,SSD,533.33,933.33
51%,4,4,SSD,138.13,280.0
45%,8,8,HDD,146.67,266.67
43%,4,4,SSD,114.67,200.0
9%,8,8,SSD,259.2,285.87
35%,4,4,SSD,103.73,160.0
49%,16,16,HDD,149.07,293.33
55%,4,4,SSD,215.73,480.0
38%,4,128,SSD,149.07,240.0
32%,16,16,HDD,136.0,200.0
7%,16,16,SSD,373.07,400.0
13%,16,16,SSD,693.33,800.0
,16,16,SSD,1120.0,
36%,16,16,SSD,186.4,290.67
45%,8,8,HDD,192.0,346.67
41%,8,8,HDD,138.13,234.67
,8,8,SSD,320.0,
17%,16,16,SSD,1066.67,1280.0
24%,8,8,SSD,202.4,266.4
,4,4,SSD,333.33,
39%,4,4,SSD,97.33,160.0
47%,4,4,SSD,154.4,293.33
37%,16,16,SSD,520.0,826.67
43%,16,16,HDD,165.07,290.67
58%,8,8,HDD,154.4,370.67
51%,4,4,SSD,85.07,173.33
56%,8,8,HDD,142.0,320.0
49%,8,8,SSD,341.33,666.67
56%,4,4,HDD,117.07,266.4
40%,8,8,SSD,338.4,560.0
13%,8,8,HDD,162.67,186.67
40%,8,8,HDD,159.73,266.67
47%,8,8,SSD,153.87,290.67
50%,4,4,SSD,133.07,266.67
47%,4,4,HDD,480.0,906.67
50%,8,8,HDD,170.64,344.0
57%,4,4,HDD,113.33,261.33
63%,4,4,HDD,127.6,346.67
,8,8,SSD,426.67,
39%,8,8,SSD,226.67,373.33
31%,8,8,HDD,156.0,226.67
,4,4,SSD,346.67,
54%,4,4,SSD,121.33,264.0
60%,4,4,SSD,95.73,239.73
27%,4,4,SSD,146.67,200.0
63%,8,8,HDD,146.67,400.0
1%,8,8,SSD,244.93,248.0
17%,32,32,SSD,890.4,1066.67
40%,4,4,SSD,127.73,213.33
45%,16,16,SSD,586.67,1066.67
44%,4,500,HDD,127.73,226.67
20%,8,8,SSD,320.0,400.0
67%,4,4,HDD,157.33,480.0
43%,8,500,HDD,152.0,266.67
7%,8,8,SSD,744.0,800.0
44%,4,4,SSD,90.4,160.0
28%,16,16,SSD,365.33,506.67
17%,8,8,HDD,143.73,173.33
39%,8,8,SSD,212.0,346.67
43%,4,128,SSD,98.67,173.33
49%,8,8,HDD,136.0,266.67
54%,8,8,HDD,146.67,320.0
45%,8,8,SSD,159.73,290.67
57%,4,4,SSD,133.07,306.67
41%,8,8,SSD,173.07,293.31
58%,8,500,HDD,133.33,320.0
43%,8,8,SSD,303.73,530.67
54%,16,16,SSD,293.07,640.0
31%,16,16,SSD,239.73,346.67
31%,8,500,HDD,138.4,200.0
35%,16,16,SSD,346.4,530.67
42%,8,8,HDD,230.76,400.0
37%,4,4,SSD,117.07,186.67
57%,4,128,SSD,101.33,234.67
51%,8,8,SSD,263.73,533.33
45%,16,16,HDD,205.07,373.33
53%,8,8,SSD,186.53,400.0
48%,16,16,HDD,151.73,290.67
35%,8,8,SSD,119.73,184.0
61%,4,4,HDD,186.4,479.97
52%,8,8,SSD,293.07,613.33
41%,8,8,HDD,156.53,264.0
35%,8,8,SSD,173.07,266.4
47%,16,16,SSD,493.33,933.33
33%,8,8,SSD,138.67,208.0
29%,4,64,SSD,85.07,120.0
10%,32,32,SSD,600.0,666.67
,16,16,SSD,666.67,
37%,8,8,SSD,253.33,400.0
2%,8,8,SSD,1306.67,1333.33
51%,4,64,SSD,85.07,173.33
92%,8,8,HDD,421.33,5333.33
21%,16,16,SSD,1000.0,1266.67
46%,16,16,HDD,159.73,293.33
23%,4,4,SSD,133.07,173.33
46%,4,4,HDD,124.0,229.07
54%,4,4,SSD,119.97,261.36
50%,8,8,SSD,186.4,370.67
28%,16,16,SSD,346.67,480.0
43%,4,4,SSD,85.07,149.33
64%,8,8,SSD,173.33,479.97
33%,8,8,SSD,1040.0,1546.67
37%,16,16,SSD,352.0,560.0
39%,4,4,SSD,114.4,186.67
,8,8,SSD,613.33,
53%,4,4,SSD,151.73,320.0
17%,8,8,HDD,144.0,173.33
,8,8,SSD,4000.0,
38%,8,8,HDD,133.31,213.33
11%,8,8,SSD,213.33,240.0
13%,8,8,HDD,173.33,200.0
40%,8,500,HDD,160.0,266.67
59%,12,12,SSD,186.4,450.66
18%,4,128,SSD,98.67,120.0
62%,4,4,SSD,101.07,264.0
19%,8,8,SSD,173.07,213.33
40%,8,8,HDD,159.73,266.93
43%,8,8,SSD,239.73,424.0
32%,16,16,SSD,683.2,1000.0
46%,8,8,SSD,399.73,746.67
47%,8,500,HDD,154.4,290.67
50%,8,8,SSD,173.07,344.0
52%,8,512,SSD,205.33,426.67
51%,8,500,HDD,130.67,266.67
33%,12,12,SSD,159.73,237.6
47%,8,8,SSD,213.07,400.0
43%,8,8,HDD,151.73,266.4
13%,8,512,SSD,1280.0,1466.67
56%,4,500,HDD,127.97,293.33
,4,4,HDD,266.67,
36%,16,16,SSD,373.07,586.67
40%,16,16,SSD,608.0,1013.33
43%,8,8,HDD,122.39,213.33
31%,8,8,SSD,360.0,520.0
27%,8,8,SSD,234.67,320.0
43%,4,4,SSD,106.4,186.67
46%,4,4,SSD,100.0,186.69
54%,16,16,SSD,306.67,666.67
50%,4,4,SSD,93.07,186.4
49%,4,4,SSD,133.07,261.33
46%,8,8,SSD,266.67,493.33
58%,8,8,SSD,202.4,480.0
12%,4,4,SSD,129.33,146.67
17%,4,4,SSD,400.0,480.0
45%,8,8,HDD,124.53,226.67
53%,4,4,SSD,102.13,217.33
35%,8,8,SSD,343.73,530.67
41%,8,8,HDD,125.33,213.33
70%,8,8,HDD,159.73,530.67
69%,4,4,HDD,154.67,504.0
13%,4,4,SSD,190.4,218.67
49%,8,8,HDD,184.0,360.0
46%,16,16,HDD,156.99,293.07
7%,8,8,SSD,298.67,320.0
79%,4,4,SSD,95.73,453.33
49%,4,4,SSD,130.13,253.33
43%,16,16,SSD,352.0,613.33
41%,8,8,HDD,147.47,248.0
23%,4,4,SSD,133.07,173.33
51%,8,8,SSD,234.67,477.33
43%,8,8,SSD,150.67,266.4
43%,8,8,SSD,154.67,269.33
16%,8,8,SSD,874.67,1040.0
66%,4,4,HDD,146.67,426.66
43%,4,4,SSD,101.07,178.67
47%,8,8,SSD,213.33,400.0
44%,4,4,SSD,122.4,218.67
31%,8,8,SSD,274.67,400.0
21%,4,4,SSD,160.0,202.67
42%,4,4,SSD,93.07,160.0
53%,8,8,SSD,237.07,506.67
,16,16,SSD,546.67,
52%,4,192,SSD,104.0,218.67
50%,8,8,HDD,200.0,400.0
22%,8,8,SSD,146.4,186.67
43%,8,8,HDD,145.6,253.33
59%,8,8,SSD,207.73,506.67
45%,4,4,SSD,101.07,184.0
45%,16,16,HDD,133.07,240.0
10%,8,8,SSD,191.73,213.33
44%,4,4,SSD,103.73,186.4
55%,8,8,SSD,240.0,530.67
49%,8,8,HDD,170.67,333.33
45%,8,8,SSD,588.0,1066.67
45%,4,4,SSD,102.67,186.67
58%,8,8,HDD,146.67,346.67
44%,8,8,SSD,149.31,266.4
41%,8,8,SSD,220.91,373.33
21%,4,4,SSD,116.0,146.67
42%,4,64,SSD,84.8,146.67
45%,8,8,SSD,202.4,370.67
55%,8,8,SSD,240.0,533.33
23%,8,8,HDD,133.33,173.33
50%,16,16,SSD,386.67,773.33
64%,8,8,HDD,154.4,426.64
35%,16,16,SSD,1738.67,2666.67
8%,16,16,SSD,493.33,533.34
53%,8,8,HDD,149.33,320.0
40%,4,4,SSD,159.73,266.67
1%,8,8,SSD,346.4,346.67
38%,4,4,SSD,90.4,146.67
45%,8,8,HDD,146.4,266.4
33%,12,12,HDD,194.4,290.67
63%,8,8,HDD,146.67,400.0
58%,8,8,HDD,166.67,400.0
37%,4,4,SSD,119.73,189.33
3%,16,16,SSD,386.67,400.0
34%,4,4,HDD,122.66,186.64
51%,8,8,HDD,157.28,320.0
31%,4,4,SSD,129.33,186.67
39%,16,16,HDD,180.0,293.33
50%,8,8,HDD,120.0,240.0
58%,8,8,HDD,145.57,344.0
20%,8,8,SSD,746.67,933.33
33%,16,16,SSD,360.0,533.33
20%,16,16,SSD,373.07,466.67
29%,16,16,SSD,264.0,373.33
62%,4,4,SSD,133.02,346.67
31%,4,4,SSD,120.0,173.33
38%,8,8,SSD,305.2,493.33
21%,16,16,SSD,211.47,266.67
5%,4,4,HDD,202.67,213.33
53%,8,8,SSD,174.64,373.33
23%,4,4,HDD,122.67,160.0
35%,16,16,SSD,237.33,365.33
32%,16,16,SSD,453.33,666.67
32%,4,4,SSD,117.07,173.33
65%,8,8,HDD,138.67,400.0
21%,8,8,HDD,200.0,253.33
40%,4,4,SSD,103.73,173.33
39%,4,4,SSD,129.7,213.07
29%,32,32,SSD,399.73,560.0
26%,16,16,SSD,594.13,800.0
55%,8,8,SSD,184.0,413.33
44%,4,4,SSD,118.67,210.67
30%,4,4,SSD,239.73,344.0
53%,4,4,HDD,149.33,320.0
35%,4,128,SSD,112.0,173.33
31%,8,8,SSD,293.07,426.67
24%,4,4,SSD,181.33,240.0
50%,16,16,SSD,533.33,1066.67
32%,8,8,SSD,453.33,666.67
40%,8,8,SSD,880.0,1466.67
17%,8,8,SSD,386.67,466.67
56%,8,8,SSD,181.33,416.0
53%,8,8,HDD,213.31,450.66
,8,8,HDD,663.99,
22%,16,16,SSD,584.0,744.0
47%,8,8,SSD,266.67,506.67
55%,8,8,SSD,238.4,533.33
43%,4,4,SSD,102.93,181.33
48%,16,16,SSD,208.0,400.0
29%,8,8,SSD,200.0,280.0
,8,8,SSD,2346.67,
33%,16,16,HDD,175.73,264.0
40%,4,4,SSD,89.33,149.07
43%,16,16,SSD,453.33,800.0
40%,4,4,SSD,104.0,173.33
53%,6,6,SSD,186.4,397.33
15%,8,500,HDD,125.33,146.67
48%,8,8,HDD,166.67,320.0
39%,4,4,SSD,129.33,213.33
44%,16,16,SSD,223.73,400.0
33%,16,16,HDD,266.43,400.0
35%,4,4,SSD,130.67,200.0
47%,4,64,SSD,85.07,160.0
50%,4,128,SSD,106.4,213.33
,16,16,SSD,400.0,
37%,4,128,SSD,162.4,256.0
,16,16,HDD,440.0,
45%,8,8,HDD,133.07,240.0
29%,8,8,SSD,226.67,320.0
43%,4,4,SSD,106.4,186.67
61%,8,8,SSD,186.67,477.33
25%,8,8,SSD,336.0,450.67
42%,8,8,SSD,157.33,269.33
49%,4,4,SSD,95.73,186.4
43%,8,8,SSD,320.0,560.0
31%,12,12,HDD,175.47,255.47
51%,8,8,SSD,264.0,533.33
54%,8,8,SSD,258.4,560.0
40%,8,8,SSD,159.73,266.64
39%,4,4,SSD,98.4,160.0
39%,8,8,SSD,159.73,264.0
31%,4,4,SSD,120.0,173.33
29%,4,128,SSD,170.67,240.0
,16,16,SSD,560.0,
47%,4,4,HDD,183.47,346.67
39%,4,4,SSD,95.47,157.33
20%,8,8,SSD,234.67,293.33
42%,4,4,SSD,101.07,173.33
25%,16,16,SSD,378.67,506.67
,16,256,SSD,746.67,
27%,16,16,HDD,213.07,293.33
36%,8,8,HDD,154.67,240.0
47%,4,4,SSD,98.4,186.4
35%,4,4,HDD,146.67,226.67
43%,8,8,SSD,189.33,333.33
52%,4,64,SSD,85.07,178.67
62%,4,4,SSD,130.67,346.67
53%,8,8,SSD,223.49,480.0
24%,8,8,HDD,173.33,226.67
30%,8,8,SSD,186.4,266.4
13%,8,8,SSD,208.0,240.0
42%,8,8,HDD,153.87,264.0
44%,16,16,SSD,266.64,477.34
23%,4,4,SSD,165.33,213.33
32%,4,4,SSD,117.33,173.33
24%,8,8,SSD,173.07,226.67
52%,4,4,SSD,159.73,333.33
59%,4,4,SSD,130.4,320.0
15%,4,4,SSD,125.33,146.67
18%,12,12,HDD,264.0,320.0
42%,4,4,SSD,101.07,173.07
26%,16,16,SSD,746.67,1013.33
31%,8,8,SSD,181.33,261.33
61%,8,8,HDD,239.73,613.33
50%,16,16,HDD,333.33,666.67
44%,4,4,SSD,101.07,181.33
65%,4,4,HDD,138.4,397.33
,8,8,SSD,693.33,
14%,8,8,SSD,1586.67,1853.33
38%,4,128,SSD,141.33,229.33
44%,8,8,SSD,119.73,213.07
61%,4,4,SSD,104.0,266.67
3%,16,16,HDD,207.73,213.33
36%,8,8,SSD,186.4,293.31
,16,16,SSD,266.4,
43%,4,4,SSD,101.07,178.67
37%,4,4,HDD,202.67,320.0
,32,32,SSD,693.33,
47%,16,16,HDD,154.67,293.07
17%,8,8,SSD,333.33,400.0
47%,8,8,HDD,127.73,239.73
7%,8,8,SSD,224.0,240.0
55%,4,4,SSD,144.0,320.0
,8,8,SSD,453.33,
37%,16,16,SSD,368.0,586.67
32%,4,4,SSD,117.33,173.33
39%,4,4,SSD,114.4,186.67
55%,4,4,SSD,101.33,226.67
26%,16,16,SSD,594.67,800.0
53%,12,12,SSD,213.07,450.66
44%,4,4,SSD,102.67,184.0
19%,8,8,SSD,1173.33,1440.0
45%,8,8,HDD,140.0,253.33
38%,16,16,HDD,128.0,208.0
43%,4,64,SSD,90.4,157.33
47%,8,8,HDD,153.33,290.67
24%,8,8,SSD,346.4,453.33
24%,8,8,SSD,173.07,226.67
27%,8,8,SSD,293.33,400.0
42%,4,4,SSD,101.07,173.33
47%,8,8,HDD,138.66,261.33
,8,8,SSD,570.67,
50%,4,4,SSD,132.8,266.67
54%,8,8,HDD,165.33,360.0
39%,8,8,SSD,159.73,263.99
,4,128,SSD,264.0,
47%,4,64,SSD,85.07,160.0
26%,4,4,SSD,119.73,162.67
34%,4,4,SSD,132.0,200.0
22%,8,8,SSD,666.67,853.33
10%,16,16,SSD,346.4,386.67
45%,8,8,HDD,181.33,330.67
44%,8,8,SSD,208.0,373.33
53%,8,8,SSD,253.33,533.33
49%,4,64,SSD,85.07,165.33
58%,12,12,HDD,213.07,506.67
35%,8,8,SSD,173.07,266.4
38%,16,16,SSD,349.33,560.0
32%,8,8,SSD,333.33,493.33
38%,12,12,HDD,133.07,213.33
61%,8,8,SSD,186.64,480.0
15%,8,8,SSD,1493.33,1760.0
42%,4,4,SSD,101.07,173.33
32%,8,8,SSD,362.4,533.33
50%,8,8,HDD,120.0,240.0
53%,4,4,HDD,125.33,266.4
,8,8,SSD,520.0,
30%,8,8,SSD,373.07,533.07
65%,8,8,HDD,120.0,346.67
20%,4,256,SSD,117.33,146.67
61%,8,8,HDD,186.4,480.0
50%,8,8,SSD,280.0,560.0
23%,8,8,SSD,172.53,224.0
42%,4,4,SSD,93.07,160.0
41%,12,12,HDD,237.33,400.0
45%,4,4,SSD,146.67,266.67
44%,4,4,HDD,194.4,346.67
66%,4,4,HDD,181.33,533.33
31%,8,8,SSD,346.66,504.0
1%,16,16,HDD,186.13,186.4
38%,16,16,HDD,226.67,365.33
31%,4,4,SSD,146.67,213.33
49%,4,128,SSD,122.67,240.0
53%,4,4,HDD,186.4,400.0
12%,16,16,SSD,373.07,424.0
60%,8,8,HDD,138.64,346.67
14%,8,8,SSD,504.0,586.67
57%,4,4,SSD,205.07,480.0
49%,4,4,SSD,95.73,186.67
26%,8,8,SSD,334.66,453.33
36%,4,128,SSD,120.0,186.67
20%,8,8,HDD,212.27,266.67
63%,8,8,HDD,127.97,344.0
30%,4,320,HDD,186.67,266.67
23%,8,8,SSD,194.67,253.33
44%,4,128,SSD,119.73,213.33
31%,16,16,SSD,221.33,320.0
58%,8,256,SSD,186.67,440.0
53%,4,4,SSD,151.73,320.0
54%,4,128,SSD,101.07,221.33
44%,8,8,SSD,194.67,346.67
,8,8,SSD,346.67,
44%,8,8,SSD,239.97,426.67
44%,4,4,SSD,90.4,160.0
50%,8,8,HDD,186.67,373.36
48%,8,500,HDD,138.4,264.0
44%,4,128,SSD,133.07,239.73
20%,8,8,SSD,213.06,266.4
39%,8,8,SSD,159.73,264.0
17%,8,8,SSD,333.33,400.0
49%,8,8,SSD,185.33,360.0
36%,8,8,SSD,218.67,341.87
42%,8,8,SSD,158.67,272.0
58%,8,8,SSD,424.0,1013.33
10%,8,8,SSD,179.43,200.0
46%,8,8,SSD,159.73,293.33
9%,8,8,SSD,194.67,213.33
58%,8,8,HDD,154.4,370.67
8%,8,512,SSD,1200.0,1306.67
48%,8,8,HDD,125.07,239.73
53%,8,8,SSD,202.25,426.67
45%,4,4,SSD,130.93,237.33
33%,8,8,HDD,133.07,197.33
54%,4,4,SSD,346.67,746.67
70%,8,8,HDD,200.0,666.66
34%,8,8,SSD,314.67,480.0
46%,4,500,HDD,128.0,237.33
46%,8,8,HDD,186.66,346.67
59%,4,4,HDD,197.33,480.0
30%,4,128,SSD,112.27,160.0
68%,8,8,HDD,186.4,586.65
76%,8,8,HDD,121.6,506.67
63%,4,4,SSD,95.73,261.07
62%,4,128,SSD,159.73,424.0
2%,8,8,HDD,157.07,160.0
,8,8,SSD,373.33,
35%,4,4,SSD,103.73,160.0
58%,8,8,SSD,202.4,480.0
52%,8,8,SSD,183.97,386.67
35%,8,8,SSD,346.4,533.33
43%,12,12,HDD,213.07,373.33
43%,4,128,SSD,129.33,226.67
36%,8,8,HDD,150.93,237.33
,16,16,SSD,1280.0,
26%,4,4,SSD,120.0,161.33
55%,8,8,HDD,133.06,293.33
66%,8,8,HDD,146.67,426.67
24%,8,8,SSD,202.53,266.4
49%,8,8,HDD,202.4,400.0
45%,8,8,SSD,293.33,533.33
34%,8,8,SSD,290.67,440.0
44%,4,4,SSD,119.73,213.33
39%,12,12,HDD,159.73,264.0
43%,4,4,SSD,149.33,261.33
42%,8,8,HDD,154.4,266.4
,4,4,SSD,666.67,
42%,16,16,SSD,608.0,1040.0
41%,8,8,SSD,266.4,453.33
54%,4,4,HDD,159.73,346.67
62%,8,8,SSD,202.4,533.33
25%,4,500,HDD,399.73,533.33
21%,8,8,SSD,1013.33,1280.0
,4,4,HDD,264.0,
,4,320,HDD,266.66,
6%,16,16,SSD,373.07,397.33
45%,8,8,SSD,264.0,480.0
34%,4,4,SSD,114.67,173.33
34%,8,8,SSD,440.0,666.67
51%,4,4,SSD,85.07,173.33
19%,16,16,SSD,432.0,533.33
51%,4,4,HDD,130.4,266.4
21%,16,16,SSD,736.0,933.33
47%,8,8,SSD,352.0,666.67
19%,8,8,SSD,172.53,213.33
45%,8,8,SSD,588.0,1066.67
40%,8,8,SSD,397.33,666.67
45%,4,256,SSD,117.33,213.33
32%,4,4,SSD,117.07,173.33
46%,4,4,SSD,85.07,157.33
28%,16,16,SSD,346.4,480.0
,4,500,HDD,293.33,
44%,8,8,SSD,149.07,266.4
56%,12,12,HDD,197.07,450.66
45%,4,4,SSD,87.73,160.0
,8,8,HDD,266.67,
43%,4,4,SSD,106.4,186.67
57%,8,8,HDD,159.73,370.67
29%,8,8,HDD,141.07,200.0
6%,8,8,SSD,213.33,226.67
46%,8,8,HDD,186.67,346.67
29%,8,8,SSD,320.0,453.33
52%,8,8,HDD,186.4,386.67
39%,8,8,SSD,159.73,264.0
43%,4,4,SSD,92.0,160.0
48%,8,8,HDD,250.4,480.0
57%,4,4,HDD,114.67,266.67
48%,4,4,SSD,125.33,240.0
52%,8,8,HDD,122.4,253.33
50%,4,4,SSD,101.07,202.4
46%,8,8,SSD,159.73,293.33
36%,8,8,SSD,119.73,186.67
17%,16,16,SSD,1000.0,1200.0
,8,8,HDD,186.67,
42%,4,4,SSD,130.67,226.67
5%,8,8,SSD,180.0,189.33
43%,8,8,HDD,151.73,266.4
65%,4,4,SSD,127.99,370.67
41%,4,4,SSD,119.73,202.67
,16,16,SSD,1053.33,
52%,8,8,HDD,186.4,386.67
37%,4,4,SSD,95.73,152.0
47%,4,4,HDD,184.0,346.67
35%,8,8,SSD,318.67,490.67
40%,8,8,SSD,159.73,266.66
47%,4,64,SSD,85.07,160.0
55%,4,128,SSD,130.67,293.33
,8,8,HDD,266.67,
27%,4,4,SSD,145.33,200.0
46%,12,12,HDD,200.0,373.33
26%,4,4,SSD,128.0,173.33
68%,8,8,HDD,213.07,663.99
43%,8,8,SSD,159.73,280.0
39%,8,8,HDD,178.67,293.33
50%,4,4,SSD,306.67,613.33
30%,8,8,SSD,253.33,360.0
70%,8,8,HDD,158.4,533.34
44%,4,4,SSD,89.33,160.0
52%,4,4,SSD,133.07,280.0
48%,8,8,HDD,173.33,333.33
34%,4,4,SSD,122.4,186.67
18%,16,16,SSD,1066.67,1306.67
62%,4,128,SSD,133.04,346.67
42%,8,8,HDD,154.4,266.67
40%,16,16,HDD,184.0,306.67
32%,4,4,SSD,173.33,253.33
52%,8,256,SSD,258.4,533.33
47%,8,8,SSD,266.67,506.67
,8,8,SSD,800.0,
55%,8,500,HDD,130.67,293.33
27%,16,16,HDD,184.0,253.33
46%,4,4,SSD,101.07,186.67
47%,4,64,SSD,85.07,160.0
47%,8,8,HDD,153.33,290.67
7%,4,4,SSD,106.4,114.67
32%,16,16,SSD,397.33,586.67
46%,4,4,SSD,186.4,346.67
51%,8,8,HDD,150.45,306.67
49%,8,8,SSD,178.4,346.67
,8,8,SSD,480.0,
39%,16,16,SSD,226.67,373.33
31%,4,4,SSD,120.0,173.33
65%,8,8,HDD,174.93,506.67
62%,4,4,SSD,98.67,261.33
54%,4,4,HDD,148.0,320.0
58%,8,8,HDD,154.67,370.67
21%,16,16,SSD,400.0,506.67
51%,4,500,HDD,194.4,400.0
53%,4,4,SSD,151.73,320.0
31%,2,2,HDD,120.0,173.33
49%,4,4,SSD,93.07,181.33
27%,8,8,SSD,293.33,400.0
62%,4,4,HDD,141.33,373.33
27%,8,8,SSD,293.33,400.0
43%,4,4,HDD,290.67,506.67
32%,4,4,SSD,173.33,253.33
18%,8,8,HDD,130.67,158.67
10%,8,8,SSD,960.0,1066.67
45%,8,8,HDD,159.73,290.67
19%,4,4,SSD,130.4,160.0
35%,8,8,SSD,173.07,266.4
35%,4,128,SSD,103.73,160.0
40%,4,4,SSD,104.53,173.33
45%,8,256,SSD,293.33,533.33
39%,16,512,SSD,360.0,586.67
33%,8,8,SSD,338.64,506.67
41%,8,500,HDD,125.33,213.33
5%,4,4,HDD,117.07,122.67
36%,4,4,SSD,136.0,213.33
47%,8,8,HDD,153.33,290.67
43%,4,4,SSD,106.4,186.67
33%,4,4,HDD,213.07,320.03
,8,8,SSD,400.0,
15%,16,16,SSD,453.07,533.33
26%,4,128,SSD,128.0,173.33
31%,4,4,HDD,184.0,266.67
42%,4,4,SSD,101.33,173.33
,8,8,HDD,237.33,
