Description,AvgMonthlySales,AvgDailySales,SalesStdDev,SafetyStock,LeadTimeDemand,ReorderPoint,AnnualDemand,EOQ
BUTTERFLIES STICKERS,47.73,1.591,18.91,21,22.27,43.0,572.76,169.0
BUTTERFLY CROCHET FOOD COVER,11.18,0.37266666666666665,8.67,10,5.22,15.0,134.16,82.0
BUTTERFLY CUSHION COVER,8.0,0.26666666666666666,,0,3.73,4.0,96.0,69.0
BUTTERFLY HAIR BAND,5.33,0.17766666666666667,4.04,5,2.49,7.0,63.96,57.0
BUTTON BOX ,82.46,2.7486666666666664,103.29,116,38.48,154.0,989.52,222.0
BUTTONS AND STRIPES NOTEBOOK ,2.6,0.08666666666666667,2.07,2,1.21,3.0,31.200000000000003,39.0
Bank Charges,1.5,0.05,0.76,1,0.7,2.0,18.0,30.0
CABIN BAG VINTAGE PAISLEY,8.0,0.26666666666666666,7.07,8,3.73,12.0,96.0,69.0
CABIN BAG VINTAGE RETROSPOT,16.0,0.5333333333333333,20.19,23,7.47,30.0,192.0,98.0
CACTI T-LIGHT CANDLES,434.75,14.491666666666667,142.59,160,202.88,363.0,5217.0,511.0
CAKE PLATE LOVEBIRD PINK,26.25,0.875,36.42,41,12.25,53.0,315.0,125.0
CAKE PLATE LOVEBIRD WHITE,63.38,2.1126666666666667,74.43,84,29.58,114.0,760.5600000000001,195.0
CAKE SHOP  STICKER SHEET,9.5,0.31666666666666665,5.32,6,4.43,10.0,114.0,75.0
CAKE STAND 3 TIER MAGIC GARDEN,25.67,0.8556666666666667,16.69,19,11.98,31.0,308.04,124.0
CAKE STAND LACE WHITE,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
CAKE STAND LOVEBIRD 2 TIER PINK,9.54,0.31799999999999995,9.81,11,4.45,15.0,114.47999999999999,76.0
CAKE STAND LOVEBIRD 2 TIER WHITE,17.83,0.5943333333333333,22.28,25,8.32,33.0,213.95999999999998,103.0
CAKE STAND VICTORIAN FILIGREE LARGE,4.0,0.13333333333333333,2.83,3,1.87,5.0,48.0,49.0
CAKE STAND VICTORIAN FILIGREE MED,9.25,0.30833333333333335,8.4,9,4.32,13.0,111.0,74.0
CAKE STAND VICTORIAN FILIGREE SMALL,25.75,0.8583333333333333,26.48,30,12.02,42.0,309.0,124.0
CAKE STAND WHITE TWO TIER LACE,25.38,0.846,23.1,26,11.84,38.0,304.56,123.0
CAKES AND BOWS GIFT  TAPE,78.23,2.607666666666667,108.86,122,36.51,159.0,938.76,217.0
CAKES AND RABBITS DESIGN FLANNEL ,7.12,0.23733333333333334,6.06,7,3.32,10.0,85.44,65.0
"CAKESTAND, 3 TIER, LOVEHEART",2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
CALENDAR FAMILY FAVOURITES,15.3,0.51,13.13,15,7.14,22.0,183.60000000000002,96.0
CALENDAR IN SEASON DESIGN,36.77,1.2256666666666667,35.69,40,17.16,57.0,441.24,149.0
CALENDAR PAPER CUT DESIGN,147.33,4.9110000000000005,79.84,90,68.75,159.0,1767.96,297.0
CAMOUFLAGE DESIGN TEDDY,163.0,5.433333333333334,119.82,135,76.07,211.0,1956.0,313.0
CAMOUFLAGE EAR MUFF HEADPHONES,4.44,0.14800000000000002,5.25,6,2.07,8.0,53.28,52.0
CAMOUFLAGE LED TORCH,202.15,6.738333333333333,153.34,172,94.34,266.0,2425.8,348.0
CAMPHOR WOOD PORTOBELLO MUSHROOM,13.36,0.4453333333333333,11.16,13,6.23,19.0,160.32,90.0
CANDLE HOLDER SILVER MADELINE,27.57,0.919,13.95,16,12.87,29.0,330.84000000000003,129.0
CANDLE PLATE LACE WHITE,9.5,0.31666666666666665,10.61,12,4.43,16.0,114.0,75.0
CANDLEHOLDER PINK HANGING HEART,186.0,6.2,75.65,85,86.8,172.0,2232.0,334.0
CANDY HEART HANGING DECORATION,115.0,3.8333333333333335,164.76,185,53.67,239.0,1380.0,263.0
CANDY SHOP  STICKER SHEET,19.44,0.648,19.46,22,9.07,31.0,233.28000000000003,108.0
CANDY SPOT BUNNY,3.5,0.11666666666666667,1.29,1,1.63,3.0,42.0,46.0
CANDY SPOT CUSHION COVER,8.0,0.26666666666666666,2.45,3,3.73,7.0,96.0,69.0
CANDY SPOT EGG WARMER HARE,75.17,2.505666666666667,139.1,156,35.08,191.0,902.04,212.0
CANDY SPOT EGG WARMER RABBIT,55.78,1.8593333333333333,62.47,70,26.03,96.0,669.36,183.0
CANDY SPOT HAND BAG,20.89,0.6963333333333334,24.49,28,9.75,38.0,250.68,112.0
CANDY SPOT HEART DECORATION,9.0,0.3,8.34,9,4.2,13.0,108.0,73.0
CANDY SPOT TEA COSY,27.0,0.9,,0,12.6,13.0,324.0,127.0
CANNABIS LEAF BEAD CURTAIN,18.0,0.6,8.49,10,8.4,18.0,216.0,104.0
CANNISTER VINTAGE LEAF DESIGN,12.0,0.4,,0,5.6,6.0,144.0,85.0
CAPIZ CHANDELIER,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
CARAVAN SQUARE TISSUE BOX,108.08,3.6026666666666665,132.08,148,50.44,198.0,1296.96,255.0
CARD BILLBOARD FONT,387.54,12.918000000000001,144.43,162,180.85,343.0,4650.4800000000005,482.0
CARD BIRTHDAY COWBOY,259.0,8.633333333333333,168.89,190,120.87,311.0,3108.0,394.0
CARD CAT AND TREE ,120.0,4.0,58.79,66,56.0,122.0,1440.0,268.0
CARD CHRISTMAS VILLAGE,395.25,13.175,414.93,466,184.45,650.0,4743.0,487.0
CARD CIRCUS PARADE,237.54,7.918,82.44,93,110.85,204.0,2850.48,378.0
CARD DOG AND BALL ,97.5,3.25,39.13,44,45.5,90.0,1170.0,242.0
CARD DOLLY GIRL ,359.92,11.997333333333334,245.27,276,167.96,444.0,4319.04,465.0
CARD GINGHAM ROSE ,206.0,6.866666666666666,131.67,148,96.13,244.0,2472.0,352.0
CARD HOLDER GINGHAM HEART,60.5,2.0166666666666666,45.53,51,28.23,79.0,726.0,191.0
CARD HOLDER LOVE BIRD LARGE ,73.33,2.4443333333333332,69.72,78,34.22,112.0,879.96,210.0
CARD HOLDER LOVE BIRD SMALL,80.0,2.6666666666666665,95.98,108,37.33,145.0,960.0,219.0
CARD I LOVE LONDON ,254.54,8.484666666666666,168.77,190,118.79,309.0,3054.48,391.0
CARD MOTORBIKE SANTA,429.75,14.325,440.32,495,200.55,696.0,5157.0,508.0
CARD PARTY GAMES ,121.62,4.054,48.1,54,56.76,111.0,1459.44,270.0
CARD PSYCHEDELIC APPLES,139.23,4.641,68.61,77,64.97,142.0,1670.7599999999998,289.0
CARD SUKI BIRTHDAY,142.92,4.763999999999999,73.72,83,66.7,150.0,1715.04,293.0
CARD WEDDING DAY,136.91,4.563666666666666,67.18,75,63.89,139.0,1642.92,287.0
CARDHOLDER GINGHAM CHRISTMAS TREE,53.43,1.781,58.36,66,24.93,91.0,641.16,179.0
CARDHOLDER GINGHAM STAR,40.38,1.346,42.62,48,18.84,67.0,484.56000000000006,156.0
CARDHOLDER HOLLY WREATH METAL,72.29,2.409666666666667,63.43,71,33.74,105.0,867.48,208.0
CARNIVAL BRACELET,5.0,0.16666666666666666,3.46,4,2.33,6.0,60.0,55.0
CAROUSEL DESIGN WASHBAG,5.78,0.19266666666666668,2.39,3,2.7,6.0,69.36,59.0
CAROUSEL PONIES BABY BIB,8.25,0.275,13.18,15,3.85,19.0,99.0,70.0
CARRIAGE,10.31,0.3436666666666667,5.59,6,4.81,11.0,123.72,79.0
CARROT CHARLIE+LOLA COASTER SET,35.5,1.1833333333333333,25.33,28,16.57,45.0,426.0,146.0
CARTOON  PENCIL SHARPENERS,313.33,10.444333333333333,358.36,403,146.22,549.0,3759.96,434.0
CAST IRON HOOK GARDEN FORK,102.6,3.42,138.23,155,47.88,203.0,1231.1999999999998,248.0
CAST IRON HOOK GARDEN TROWEL,75.0,2.5,107.0,120,35.0,155.0,900.0,212.0
CAT AND BIRD WALL ART,270.0,9.0,,0,126.0,126.0,3240.0,402.0
CAT BOWL VINTAGE CREAM,33.15,1.105,15.87,18,15.47,33.0,397.79999999999995,141.0
CAT WITH SUNGLASSES BLANK CARD,5.0,0.16666666666666666,,0,2.33,2.0,60.0,55.0
CD WALL TIDY BLUE OFFICE,48.0,1.6,0.0,0,22.4,22.0,576.0,170.0
CD WALL TIDY RED FLOWERS,32.0,1.0666666666666667,22.09,25,14.93,40.0,384.0,139.0
CERAMIC BIRDHOUSE CRESTED TIT SMALL,24.0,0.8,14.8,17,11.2,28.0,288.0,120.0
CERAMIC BOWL WITH LOVE HEART DESIGN,50.82,1.694,36.07,41,23.72,65.0,609.84,175.0
CERAMIC BOWL WITH STRAWBERRY DESIGN,41.85,1.395,52.62,59,19.53,79.0,502.20000000000005,158.0
CERAMIC CAKE BOWL + HANGING CAKES,51.38,1.7126666666666668,33.47,38,23.98,62.0,616.5600000000001,176.0
CERAMIC CAKE DESIGN SPOTTED MUG,108.0,3.6,72.06,81,50.4,131.0,1296.0,255.0
CERAMIC CAKE DESIGN SPOTTED PLATE,58.23,1.9409999999999998,32.15,36,27.17,63.0,698.76,187.0
CERAMIC CAKE STAND + HANGING CAKES,43.23,1.4409999999999998,28.26,32,20.17,52.0,518.76,161.0
CERAMIC CHERRY CAKE MONEY BANK,157.85,5.261666666666667,139.66,157,73.66,231.0,1894.1999999999998,308.0
CERAMIC HEART FAIRY CAKE MONEY BANK,135.15,4.505,83.19,93,63.07,156.0,1621.8000000000002,285.0
CERAMIC LOVE HEART MONEY BANK,72.1,2.4033333333333333,107.47,121,33.65,155.0,865.1999999999999,208.0
CERAMIC PIRATE CHEST MONEY BANK,61.54,2.0513333333333335,31.78,36,28.72,65.0,738.48,192.0
CERAMIC PLATE STRAWBERRY DESIGN,44.46,1.482,44.96,51,20.75,72.0,533.52,163.0
CERAMIC STRAWBERRY CAKE MONEY BANK,302.08,10.069333333333333,181.88,204,140.97,345.0,3624.96,426.0
CERAMIC STRAWBERRY DESIGN MUG,134.54,4.484666666666667,123.72,139,62.79,202.0,1614.48,284.0
CERAMIC STRAWBERRY MONEY BOX,73.09,2.4363333333333332,134.71,151,34.11,185.0,877.08,209.0
CERAMIC STRAWBERRY TRINKET TRAY,6.11,0.2036666666666667,3.98,4,2.85,7.0,73.32000000000001,61.0
CHALKBOARD KITCHEN ORGANISER,6.0,0.2,,0,2.8,3.0,72.0,60.0
CHAMBRE HOOK,30.75,1.025,23.66,27,14.35,41.0,369.0,136.0
CHAMPAGNE TRAY BLANK CARD,4.0,0.13333333333333333,1.41,2,1.87,4.0,48.0,49.0
CHARLIE & LOLA WASTEPAPER BIN BLUE,59.73,1.9909999999999999,33.73,38,27.87,66.0,716.76,189.0
CHARLIE & LOLA WASTEPAPER BIN FLORA,75.15,2.5050000000000003,41.33,46,35.07,81.0,901.8000000000001,212.0
CHARLIE + LOLA BISCUITS TINS,91.0,3.033333333333333,114.88,129,42.47,171.0,1092.0,234.0
CHARLIE + LOLA RED HOT WATER BOTTLE,50.31,1.677,80.62,91,23.48,114.0,603.72,174.0
CHARLIE AND LOLA CHARLOTTE BAG,14.33,0.4776666666666667,12.5,14,6.69,21.0,171.96,93.0
CHARLIE AND LOLA FIGURES TINS,175.5,5.85,149.43,168,81.9,250.0,2106.0,324.0
CHARLIE AND LOLA TABLE TINS,85.5,2.85,95.17,107,39.9,147.0,1026.0,226.0
CHARLIE LOLA BLUE HOT WATER BOTTLE ,11.75,0.39166666666666666,9.5,11,5.48,16.0,141.0,84.0
CHARLIE+LOLA MY ROOM DOOR SIGN,32.91,1.097,33.33,37,15.36,52.0,394.91999999999996,141.0
CHARLIE+LOLA PINK HOT WATER BOTTLE,44.9,1.4966666666666666,39.45,44,20.95,65.0,538.8,164.0
CHARLIE+LOLA RED HOT WATER BOTTLE ,24.86,0.8286666666666667,29.71,33,11.6,45.0,298.32,122.0
"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",55.18,1.8393333333333333,63.17,71,25.75,97.0,662.16,182.0
CHARLOTTE BAG ALPHABET  DESIGN,133.33,4.444333333333334,102.63,115,62.22,177.0,1599.96,283.0
CHARLOTTE BAG APPLES DESIGN,782.11,26.070333333333334,369.44,415,364.98,780.0,9385.32,685.0
CHARLOTTE BAG DOLLY GIRL DESIGN,391.15,13.038333333333332,180.9,203,182.54,386.0,4693.799999999999,484.0
CHARLOTTE BAG PINK POLKADOT,562.0,18.733333333333334,270.47,304,262.27,566.0,6744.0,581.0
CHARLOTTE BAG SUKI DESIGN,690.38,23.012666666666668,170.03,191,322.18,513.0,8284.56,644.0
CHARLOTTE BAG VINTAGE ALPHABET ,528.0,17.6,235.74,265,246.4,511.0,6336.0,563.0
CHERRY BLOSSOM  DECORATIVE FLASK,26.08,0.8693333333333333,15.39,17,12.17,29.0,312.96,125.0
CHERRY BLOSSOM CANVAS ART PICTURE,10.25,0.3416666666666667,13.52,15,4.78,20.0,123.0,78.0
CHERRY BLOSSOM DECORATIVE FLASK,36.4,1.2133333333333334,21.92,25,16.99,42.0,436.79999999999995,148.0
CHERRY BLOSSOM LUGGAGE TAG,8.25,0.275,5.5,6,3.85,10.0,99.0,70.0
CHERRY BLOSSOM PASSPORT COVER,11.17,0.37233333333333335,14.75,17,5.21,22.0,134.04,82.0
CHERRY BLOSSOM PURSE,1.0,0.03333333333333333,,0,0.47,0.0,12.0,24.0
CHERRY BLOSSOM TABLE CLOCK ,3.0,0.1,1.41,2,1.4,3.0,36.0,42.0
CHERRY CROCHET FOOD COVER,16.54,0.5513333333333333,14.23,16,7.72,24.0,198.48,100.0
CHERUB HEART DECORATION GOLD,102.71,3.4236666666666666,101.6,114,47.93,162.0,1232.52,248.0
CHERUB HEART DECORATION SILVER ,185.29,6.176333333333333,198.56,223,86.47,309.0,2223.48,333.0
CHEST 7 DRAWER MA CAMPAGNE,3.09,0.103,2.07,2,1.44,3.0,37.08,43.0
CHEST NATURAL WOOD 20 DRAWERS,2.4,0.08,1.96,2,1.12,3.0,28.799999999999997,38.0
CHEST OF DRAWERS GINGHAM HEART ,11.23,0.37433333333333335,9.32,10,5.24,15.0,134.76,82.0
CHICK GREY HOT WATER BOTTLE,119.62,3.9873333333333334,155.56,175,55.82,231.0,1435.44,268.0
CHILDREN'S APRON DOLLY GIRL ,152.46,5.082,69.58,78,71.15,149.0,1829.52,302.0
CHILDREN'S CIRCUS PARADE MUG,91.69,3.0563333333333333,45.86,52,42.79,95.0,1100.28,235.0
CHILDREN'S SPACEBOY MUG,130.08,4.336,72.3,81,60.7,142.0,1560.96,279.0
CHILDRENS APRON APPLES DESIGN,169.31,5.643666666666666,85.58,96,79.01,175.0,2031.72,319.0
CHILDRENS APRON SPACEBOY DESIGN,272.54,9.084666666666667,148.71,167,127.19,294.0,3270.4800000000005,404.0
CHILDRENS CUTLERY CIRCUS PARADE,107.0,3.566666666666667,53.3,60,49.93,110.0,1284.0,253.0
CHILDRENS CUTLERY DOLLY GIRL ,180.89,6.0296666666666665,105.11,118,84.42,202.0,2170.68,329.0
CHILDRENS CUTLERY POLKADOT BLUE,229.45,7.6483333333333325,208.95,235,107.08,342.0,2753.3999999999996,371.0
CHILDRENS CUTLERY POLKADOT GREEN ,153.45,5.114999999999999,75.24,85,71.61,157.0,1841.3999999999999,303.0
CHILDRENS CUTLERY POLKADOT PINK,320.91,10.697000000000001,234.9,264,149.76,414.0,3850.92,439.0
CHILDRENS CUTLERY RETROSPOT RED ,226.55,7.551666666666667,130.54,147,105.72,253.0,2718.6000000000004,369.0
CHILDRENS CUTLERY SPACEBOY ,220.22,7.3406666666666665,102.82,116,102.77,219.0,2642.64,363.0
CHILDRENS DOLLY GIRL MUG,117.15,3.9050000000000002,88.66,100,54.67,155.0,1405.8000000000002,265.0
CHILDRENS GARDEN GLOVES BLUE,98.67,3.289,45.3,51,46.05,97.0,1184.04,243.0
CHILDRENS GARDEN GLOVES PINK,91.6,3.0533333333333332,57.73,65,42.75,108.0,1099.1999999999998,234.0
CHILDRENS SPACEBOY MUG,24.0,0.8,,0,11.2,11.0,288.0,120.0
CHILDRENS TOY COOKING UTENSIL SET,170.0,5.666666666666667,92.79,104,79.33,183.0,2040.0,319.0
CHILDS BREAKFAST SET CIRCUS PARADE,43.46,1.4486666666666668,20.32,23,20.28,43.0,521.52,161.0
CHILDS BREAKFAST SET DOLLY GIRL ,50.54,1.6846666666666665,33.77,38,23.59,62.0,606.48,174.0
CHILDS BREAKFAST SET SPACEBOY ,56.23,1.8743333333333332,27.19,31,26.24,57.0,674.76,184.0
CHILDS GARDEN BRUSH BLUE,55.5,1.85,28.45,32,25.9,58.0,666.0,182.0
CHILDS GARDEN BRUSH PINK,52.86,1.762,26.67,30,24.67,55.0,634.3199999999999,178.0
CHILDS GARDEN FORK BLUE ,71.0,2.3666666666666667,79.22,89,33.13,122.0,852.0,206.0
CHILDS GARDEN FORK PINK,64.92,2.164,59.66,67,30.3,97.0,779.04,197.0
CHILDS GARDEN RAKE BLUE,17.1,0.5700000000000001,17.82,20,7.98,28.0,205.20000000000002,101.0
CHILDS GARDEN RAKE PINK,14.31,0.47700000000000004,14.24,16,6.68,23.0,171.72,93.0
CHILDS GARDEN SPADE BLUE,21.75,0.725,19.94,22,10.15,32.0,261.0,114.0
CHILDS GARDEN SPADE PINK,19.75,0.6583333333333333,18.65,21,9.22,30.0,237.0,109.0
CHILDS GARDEN TROWEL BLUE ,117.5,3.9166666666666665,68.33,77,54.83,132.0,1410.0,266.0
CHILDS GARDEN TROWEL PINK,101.17,3.372333333333333,88.02,99,47.21,146.0,1214.04,246.0
CHILLI LIGHTS,742.31,24.743666666666666,544.66,612,346.41,958.0,8907.72,667.0
CHINESE DRAGON PAPER LANTERNS,552.4,18.413333333333334,622.53,700,257.79,958.0,6628.799999999999,576.0
CHOC TRUFFLE GOLD TRINKET POT ,29.92,0.9973333333333334,18.09,20,13.96,34.0,359.04,134.0
CHOCOLATE 1 WICK MORRIS BOX CANDLE,32.73,1.091,42.63,48,15.27,63.0,392.76,140.0
CHOCOLATE 3 WICK MORRIS BOX CANDLE,79.71,2.6569999999999996,148.28,167,37.2,204.0,956.52,219.0
CHOCOLATE BOX RIBBONS ,121.54,4.051333333333334,73.18,82,56.72,139.0,1458.48,270.0
CHOCOLATE CALCULATOR,60.38,2.0126666666666666,35.89,40,28.18,68.0,724.5600000000001,190.0
CHOCOLATE HOT WATER BOTTLE,396.92,13.230666666666668,444.97,500,185.23,685.0,4763.04,488.0
CHOCOLATE THIS WAY METAL SIGN,279.62,9.320666666666666,140.24,158,130.49,288.0,3355.44,410.0
CHRISTMAS CARD SCREEN PRINT ,148.5,4.95,165.53,186,69.3,255.0,1782.0,298.0
CHRISTMAS CARD SINGING ANGEL,53.14,1.7713333333333334,19.42,22,24.8,47.0,637.6800000000001,179.0
CHRISTMAS CARD STACK OF PRESENTS,136.0,4.533333333333333,158.23,178,63.47,241.0,1632.0,286.0
CHRISTMAS CRAFT HEART STOCKING ,30.0,1.0,,0,14.0,14.0,360.0,134.0
CHRISTMAS CRAFT LITTLE FRIENDS,385.33,12.844333333333333,427.98,481,179.82,661.0,4623.96,481.0
CHRISTMAS CRAFT TREE TOP ANGEL,306.0,10.2,320.21,360,142.8,503.0,3672.0,428.0
CHRISTMAS CRAFT WHITE FAIRY ,439.0,14.633333333333333,444.56,500,204.87,705.0,5268.0,513.0
CHRISTMAS DECOUPAGE CANDLE,455.25,15.175,588.09,661,212.45,873.0,5463.0,523.0
"CHRISTMAS GARLAND STARS,TREES",14.29,0.47633333333333333,13.0,15,6.67,22.0,171.48,93.0
CHRISTMAS GINGHAM HEART,276.0,9.2,357.8,402,128.8,531.0,3312.0,407.0
CHRISTMAS GINGHAM STAR,227.67,7.5889999999999995,234.12,263,106.25,369.0,2732.04,370.0
CHRISTMAS GINGHAM TREE,193.78,6.459333333333333,210.96,237,90.43,327.0,2325.36,341.0
CHRISTMAS HANGING HEART WITH BELL,109.5,3.65,127.99,144,51.1,195.0,1314.0,256.0
CHRISTMAS HANGING SNOWFLAKE,121.5,4.05,126.42,142,56.7,199.0,1458.0,270.0
CHRISTMAS HANGING STAR WITH BELL,589.44,19.648000000000003,983.76,1105,275.07,1380.0,7073.280000000001,595.0
CHRISTMAS HANGING TREE WITH BELL,206.56,6.8853333333333335,308.08,346,96.39,442.0,2478.7200000000003,352.0
CHRISTMAS LIGHTS 10 REINDEER,174.67,5.822333333333333,224.28,252,81.51,334.0,2096.04,324.0
CHRISTMAS LIGHTS 10 SANTAS ,96.83,3.2276666666666665,58.15,65,45.19,110.0,1161.96,241.0
CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,128.0,4.266666666666667,183.52,206,59.73,266.0,1536.0,277.0
CHRISTMAS METAL POSTCARD WITH BELLS,338.0,11.266666666666667,503.57,566,157.73,724.0,4056.0,450.0
CHRISTMAS METAL TAGS ASSORTED ,286.3,9.543333333333333,294.76,331,133.61,465.0,3435.6000000000004,414.0
CHRISTMAS MUSICAL ZINC HEART ,35.0,1.1666666666666667,,0,16.33,16.0,420.0,145.0
CHRISTMAS MUSICAL ZINC STAR,248.17,8.272333333333332,281.55,316,115.81,432.0,2978.04,386.0
CHRISTMAS MUSICAL ZINC TREE,135.83,4.527666666666667,149.89,168,63.39,231.0,1629.96,285.0
CHRISTMAS PUDDING TRINKET POT ,805.0,26.833333333333332,1018.73,1145,375.67,1521.0,9660.0,695.0
CHRISTMAS RETROSPOT ANGEL WOOD,319.71,10.657,287.71,323,149.2,472.0,3836.5199999999995,438.0
CHRISTMAS RETROSPOT HEART WOOD,110.0,3.6666666666666665,,0,51.33,51.0,1320.0,257.0
CHRISTMAS RETROSPOT STAR WOOD,220.0,7.333333333333333,154.1,173,102.67,276.0,2640.0,363.0
CHRISTMAS RETROSPOT TREE WOOD,185.0,6.166666666666667,144.03,162,86.33,248.0,2220.0,333.0
CHRISTMAS STAR WISH LIST CHALKBOARD,470.0,15.666666666666666,350.13,393,219.33,612.0,5640.0,531.0
CHRISTMAS TABLE CANDLE SILVER SPIKE,16.0,0.5333333333333333,,0,7.47,7.0,192.0,98.0
CHRISTMAS TABLE SILVER CANDLE SPIKE,267.67,8.922333333333334,240.11,270,124.91,395.0,3212.04,401.0
CHRISTMAS TOILET ROLL,397.0,13.233333333333333,535.22,601,185.27,786.0,4764.0,488.0
CHRISTMAS TREE DECORATION WITH BELL,114.25,3.808333333333333,75.99,85,53.32,138.0,1371.0,262.0
CHRISTMAS TREE HANGING GOLD,129.33,4.311000000000001,114.41,129,60.35,189.0,1551.96,279.0
CHRISTMAS TREE HANGING SILVER ,124.5,4.15,102.1,115,58.1,173.0,1494.0,273.0
CHRISTMAS TREE HEART DECORATION,166.67,5.555666666666666,125.39,141,77.78,219.0,2000.04,316.0
CHRISTMAS TREE PAINTED ZINC ,456.6,15.22,366.06,411,213.08,624.0,5479.200000000001,523.0
CHRISTMAS TREE STAR DECORATION,189.67,6.322333333333333,134.73,151,88.51,240.0,2276.04,337.0
CHRISTMAS TREE T-LIGHT HOLDER,8.5,0.2833333333333333,5.51,6,3.97,10.0,102.0,71.0
CHRYSANTHEMUM  JOURNAL,7.1,0.23666666666666666,6.44,7,3.31,10.0,85.19999999999999,65.0
CHRYSANTHEMUM NOTEBOOK,8.64,0.28800000000000003,9.5,11,4.03,15.0,103.68,72.0
CHRYSANTHEMUM POCKET BOOK ,5.82,0.194,6.93,8,2.72,11.0,69.84,59.0
CHRYSANTHEMUM SKETCHBOOK ,7.38,0.246,3.43,4,3.44,7.0,88.56,67.0
CHUNKY SILVER NECKLACE PASTEL FLOWE,2.62,0.08733333333333333,1.77,2,1.22,3.0,31.44,40.0
CINAMMON & ORANGE WREATH,14.43,0.481,12.23,14,6.73,21.0,173.16,93.0
CINAMMON SET OF 9 T-LIGHTS,61.38,2.0460000000000003,57.73,65,28.64,94.0,736.5600000000001,192.0
CINDERELLA CHANDELIER ,27.5,0.9166666666666666,41.83,47,12.83,60.0,330.0,128.0
CINNAMON SCENTED VOTIVE CANDLE,105.33,3.511,88.37,99,49.15,148.0,1263.96,251.0
CIRCUS PARADE BABY GIFT SET,28.5,0.95,29.64,33,13.3,46.0,342.0,131.0
CIRCUS PARADE CHILDRENS EGG CUP ,80.54,2.6846666666666668,53.77,60,37.59,98.0,966.48,220.0
CIRCUS PARADE LUNCH BOX ,259.62,8.654,144.16,162,121.16,283.0,3115.44,395.0
CITRONELLA CANDLE FLOWERPOT,58.42,1.9473333333333334,58.37,66,27.26,93.0,701.04,187.0
CITRONELLA CANDLE GARDEN POT,83.46,2.7819999999999996,89.25,100,38.95,139.0,1001.52,224.0
CITRUS GARLAND FELT FLOWERS ,15.0,0.5,10.74,12,7.0,19.0,180.0,95.0
CLAM SHELL LARGE,1.67,0.05566666666666666,1.15,1,0.78,2.0,20.04,32.0
CLAM SHELL SMALL ,18.73,0.6243333333333333,11.41,13,8.74,22.0,224.76,106.0
CLASSIC BICYCLE CLIPS ,795.5,26.516666666666666,408.0,458,371.23,829.0,9546.0,691.0
CLASSIC CAFE SUGAR DISPENSER,329.25,10.975,129.64,146,153.65,300.0,3951.0,444.0
CLASSIC CHROME BICYCLE BELL ,818.0,27.266666666666666,565.19,635,381.73,1017.0,9816.0,701.0
CLASSIC CROME BICYCLE BELL ,60.0,2.0,,0,28.0,28.0,720.0,190.0
CLASSIC DIAMANTE EARRINGS JET,6.0,0.2,,0,2.8,3.0,72.0,60.0
CLASSIC DIAMANTE NECKLACE JET,2.0,0.06666666666666667,,0,0.93,1.0,24.0,35.0
CLASSIC FRENCH STYLE BASKET BROWN,24.67,0.8223333333333334,21.08,24,11.51,36.0,296.04,122.0
CLASSIC FRENCH STYLE BASKET GREEN ,36.78,1.226,54.9,62,17.16,79.0,441.36,149.0
CLASSIC FRENCH STYLE BASKET NATURAL,45.55,1.5183333333333333,43.97,49,21.26,70.0,546.5999999999999,165.0
CLASSIC GLASS COOKIE JAR,166.75,5.558333333333334,102.84,116,77.82,194.0,2001.0,316.0
CLASSIC GLASS SWEET JAR,29.75,0.9916666666666667,32.52,37,13.88,51.0,357.0,134.0
CLASSIC METAL BIRDCAGE PLANT HOLDER,71.38,2.3793333333333333,32.14,36,33.31,69.0,856.56,207.0
CLASSIC SUGAR DISPENSER,108.0,3.6,67.88,76,50.4,126.0,1296.0,255.0
CLASSIC WHITE FRAME,11.0,0.36666666666666664,9.38,11,5.13,16.0,132.0,81.0
CLASSICAL ROSE CANDLESTAND,46.75,1.5583333333333333,21.69,24,21.82,46.0,561.0,167.0
CLASSICAL ROSE SMALL VASE,34.5,1.15,15.0,17,16.1,33.0,414.0,144.0
CLASSICAL ROSE TABLE LAMP,3.0,0.1,1.41,2,1.4,3.0,36.0,42.0
CLEAR ACRYLIC FACETED BANGLE,10.0,0.3333333333333333,3.27,4,4.67,9.0,120.0,77.0
CLEAR CRYSTAL STAR PHONE CHARM,9.4,0.31333333333333335,13.5,15,4.39,19.0,112.80000000000001,75.0
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,442.54,14.751333333333333,148.79,167,206.52,374.0,5310.4800000000005,515.0
CLEAR LOVE BIRD T-LIGHT HOLDER,9.5,0.31666666666666665,5.74,6,4.43,10.0,114.0,75.0
CLEAR MILKSHAKE GLASS,18.0,0.6,11.31,13,8.4,21.0,216.0,104.0
CLEAR STATIONERY BOX SET ,3.0,0.1,1.41,2,1.4,3.0,36.0,42.0
CLOCK MAGNET MUM'S KITCHEN,30.4,1.0133333333333332,44.38,50,14.19,64.0,364.79999999999995,135.0
CLOTHES PEGS RETROSPOT PACK 24 ,647.54,21.584666666666667,248.41,279,302.19,581.0,7770.48,623.0
COCKLE SHELL DISH,24.08,0.8026666666666666,38.51,43,11.24,54.0,288.96,120.0
